,Name,Runs,Highest Score,Average,Balls Faced,Strike Rate,100s,50s,4s,6s,Overs Bowled,Wickets Taken,Bowling Average,Economy,Bowling Strike Rate,4W,Played for India,Captain
0,A Ratra,25.0,16.0,25.0,38.0,65.78,0.0,0.0,1.0,0.0,0.0,0.0,41.0,3.91,84.0,0.0,False,0
2,M Kaif,170.0,57.0,34.0,253.0,67.19,0.0,1.0,12.0,1.0,53.4,8.0,19.37,2.88,40.2,0.0,True,1
4,Manish Sharma,257.0,86.0,42.83,391.0,65.72,0.0,3.0,27.0,3.0,0.0,0.0,41.0,3.91,84.0,0.0,False,0
5,NK Patel,133.0,43.0,66.5,136.0,97.79,0.0,0.0,8.0,1.0,0.0,0.0,41.0,3.91,84.0,0.0,False,0
6,RS Ricky,340.0,108.0,42.5,552.0,61.59,1.0,2.0,36.0,2.0,0.0,0.0,41.0,3.91,84.0,0.0,False,0
7,RS Sodhi,134.0,74.0,33.5,151.0,88.74,0.0,1.0,10.0,1.0,41.0,5.0,25.0,3.04,49.2,0.0,False,0
9,Y Venugopal Rao,35.0,14.0,11.66,61.0,57.37,0.0,0.0,0.0,0.0,28.0,2.0,41.0,2.92,84.0,0.0,False,0
10,Yuvraj Singh,203.0,68.0,33.83,196.0,103.57,0.0,2.0,25.0,5.0,40.4,12.0,11.5,3.39,20.3,2.0,True,0
12,C Madan,196.0,105.0,49.0,195.0,100.51,1.0,0.0,16.0,4.0,0.0,0.0,30.83,3.89,47.5,0.0,False,0
14,DA Chougule,142.0,47.0,35.5,258.0,55.03,0.0,0.0,18.0,0.0,0.0,0.0,30.83,3.89,47.5,0.0,False,0
16,MD Mishra,77.0,35.0,25.66,95.0,81.05,0.0,0.0,6.0,1.0,0.0,0.0,30.83,3.89,47.5,0.0,False,0
17,MS Bisla,284.0,128.0,47.33,322.0,88.19,1.0,1.0,29.0,2.0,44.0,7.0,20.57,3.27,37.7,0.0,False,0
18,PA Patel,184.0,74.0,26.28,193.0,95.33,0.0,1.0,23.0,1.0,0.0,0.0,30.83,3.89,47.5,0.0,True,1
19,PC Valthaty,65.0,50.0,32.5,95.0,68.42,0.0,1.0,11.0,0.0,0.0,0.0,30.83,3.89,47.5,0.0,False,0
22,STR Binny,34.0,17.0,11.33,63.0,53.96,0.0,0.0,2.0,0.0,27.2,4.0,24.5,3.58,41.0,0.0,True,0
23,TL Suman,19.0,19.0,19.0,27.0,70.37,0.0,0.0,3.0,0.0,0.0,0.0,30.83,3.89,47.5,0.0,False,0
24,Y Gnaneswara Rao,105.0,30.0,17.5,160.0,65.62,0.0,0.0,13.0,1.0,7.0,2.0,11.5,3.28,21.0,0.0,False,0
26,AT Rayudu,149.0,53.0,24.83,214.0,69.62,0.0,1.0,17.0,1.0,21.0,3.0,41.0,5.85,42.0,0.0,True,1
27,G Dhiman,123.0,38.0,24.6,134.0,91.79,0.0,0.0,9.0,5.0,44.0,8.0,26.87,4.88,33.0,0.0,False,0
28,KD Karthik,163.0,70.0,32.6,144.0,113.19,0.0,1.0,13.0,6.0,0.0,0.0,44.0,9.0,72.0,0.0,True,0
30,PG Waghela,7.0,7.0,3.5,15.0,46.66,0.0,0.0,0.0,0.0,1.0,1.0,9.0,9.0,6.0,0.0,False,0
31,RK Solanki,92.0,33.0,23.0,121.0,76.03,0.0,0.0,9.0,1.0,1.0,0.0,44.0,4.0,72.0,0.0,False,0
33,RV Uthappa,237.0,97.0,33.85,287.0,82.57,0.0,2.0,32.0,1.0,0.0,0.0,44.0,9.0,72.0,0.0,True,0
34,S Dhawan,505.0,155.0,84.16,540.0,93.51,3.0,1.0,63.0,3.0,0.0,0.0,44.0,9.0,72.0,0.0,True,0
35,SK Raina,247.0,90.0,35.28,272.0,90.8,0.0,3.0,25.0,2.0,60.0,5.0,41.0,3.41,72.0,0.0,True,0
36,Sunny Singh,111.0,68.0,27.75,146.0,76.02,0.0,1.0,10.0,0.0,10.0,0.0,44.0,3.6,72.0,0.0,False,0
39,CA Pujara,349.0,129.0,116.33,425.0,82.11,1.0,2.0,34.0,1.0,0.0,0.0,23.0,4.72,42.0,0.0,True,0
40,DB Das,30.0,15.0,15.0,49.0,61.22,0.0,0.0,3.0,0.0,0.0,0.0,23.0,4.72,42.0,0.0,False,0
41,G Dhiman,222.0,90.0,44.4,180.0,123.33,0.0,2.0,32.0,7.0,11.0,4.0,13.0,4.72,16.5,0.0,False,0
42,M Tehlan,97.0,64.0,32.33,155.0,62.58,0.0,1.0,4.0,0.0,0.0,0.0,23.0,4.72,42.0,0.0,False,0
45,PR Shah,16.0,16.0,8.0,35.0,45.71,0.0,0.0,1.0,0.0,0.0,0.0,23.0,4.72,42.0,0.0,False,0
47,RG Sharma,205.0,78.0,41.0,265.0,77.35,0.0,3.0,18.0,4.0,14.0,4.0,8.75,2.5,21.0,0.0,True,0
48,Ravikant Shukla,53.0,45.0,10.6,77.0,68.83,0.0,0.0,7.0,0.0,0.0,0.0,23.0,4.72,42.0,0.0,False,1
54,MK Pandey,72.0,24.0,24.0,92.0,78.26,0.0,0.0,6.0,1.0,0.0,0.0,28.66,11.0,36.0,0.0,True,0
59,SP Goswami,152.0,58.0,25.33,285.0,53.33,0.0,2.0,15.0,0.0,0.0,0.0,28.66,11.0,36.0,0.0,False,0
60,SS Tiwary,115.0,38.0,28.75,176.0,65.34,0.0,0.0,7.0,2.0,0.0,0.0,28.66,11.0,36.0,0.0,True,0
61,T Kohli,218.0,63.0,43.6,398.0,54.77,0.0,3.0,26.0,0.0,4.0,0.0,28.66,6.25,36.0,0.0,False,0
